name,latitude,longitude,price_sqm,change_last_q,change_last_y,rental_yield,change_last_y_rental_price,price_hist,district_cor,year_built_imp_med,buildings_cor,floors_cor_imp_med,units_cor_imp_med,shop_1,shop_2,shop_3,shop_4,shop_5,shop_1_dist,shop_2_dist,shop_3_dist,shop_4_dist,shop_5_dist,school_1,school_2,school_3,school_4,school_5,school_1_dist,school_2_dist,school_3_dist,school_4_dist,school_5_dist,res_1,res_2,res_3,res_4,res_5,res_1_dist,res_2_dist,res_3_dist,res_4_dist,res_5_dist,hospital_dist,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,trans_type_1,trans_name_1,trans_dist_1,trans_type_2,trans_name_2,trans_dist_2,trans_type_3,trans_name_3,trans_dist_3,trans_type_4,trans_name_4,trans_dist_4,trans_type_5,trans_name_5,trans_dist_5
101 Mansion,13.7874348,100.6315637,243655,0,-13.72,0,–,"[{""date"":""2008-10-01"",""value"":15735},{""date"":""2009-01-01"",""value"":15529},{""date"":""2009-04-01"",""value"":15221},{""date"":""2009-07-01"",""value"":14912},{""date"":""2009-10-01"",""value"":14604},{""date"":""2010-01-01"",""value"":14296},{""date"":""2010-04-01"",""value"":13987},{""date"":""2010-07-01"",""value"":13679},{""date"":""2010-10-01"",""value"":13370},{""date"":""2011-01-01"",""value"":13062},{""date"":""2011-04-01"",""value"":12753},{""date"":""2011-07-01"",""value"":12445},{""date"":""2011-10-01"",""value"":12136},{""date"":""2012-01-01"",""value"":11828},{""date"":""2012-04-01"",""value"":11519},{""date"":""2012-07-01"",""value"":11211},{""date"":""2012-10-01"",""value"":10902},{""date"":""2013-01-01"",""value"":10594},{""date"":""2013-04-01"",""value"":10285},{""date"":""2013-07-01"",""value"":9977},{""date"":""2013-10-01"",""value"":9669},{""date"":""2014-01-01"",""value"":9360},{""date"":""2014-04-01"",""value"":9052},{""date"":""2014-07-01"",""value"":10328},{""date"":""2014-10-01"",""value"":12305},{""date"":""2015-01-01"",""value"":26225},{""date"":""2015-04-01"",""value"":52293},{""date"":""2015-07-01"",""value"":78361},{""date"":""2015-10-01"",""value"":104429},{""date"":""2016-01-01"",""value"":130497},{""date"":""2016-04-01"",""value"":156565},{""date"":""2016-07-01"",""value"":182634},{""date"":""2016-10-01"",""value"":208702},{""date"":""2017-01-01"",""value"":234770},{""date"":""2017-04-01"",""value"":260838},{""date"":""2017-07-01"",""value"":282408},{""date"":""2017-10-01"",""value"":272489},{""date"":""2018-01-01"",""value"":258072},{""date"":""2018-04-01"",""value"":243655},{""date"":""2018-07-01"",""value"":243655}]",Khet Bang Kapi,1991,5,5,834,De Junction Plaza is 1.5 km away (approximately 6 minutes by car),Foodland Supermarket (Lat Phrao) – 2.1 km (10 minutes by car),Siam Future Town Center – 2.3 km (9 minutes by car),Sirius Plaza Shopping Center – 2.7 km (21 minutes by car),Tops Supermarket (Nawamin) – 4.3 km (14 minutes by car),1500,2100,2300,2700,4300,"Si Nuan Kindergarten, located within 1.2 km away (approximately 5 minutes by car)",Ban Khru Kindergarten – 1.4 km (6 minutes by car),Khanathip Boriban School – 1.5 km (5 minutes by car),Ratchaphongsa Kindergarten – 1.5 km (5 minutes by car),Bangkok Arts & Crafts College – 1.5 km (7 minutes by car),1200,1400,1500,1500,1500,Ban Kalae Restaurant – 480 m (6 minutes by foot),Chon Salat Boat Noodle – 870 m (4 minutes by car),Chap Kang Noodle – 1.3 km (5 minutes by car),Chai Hong Fishball Restaurant – 1.3 km (6 minutes by car),Im Aroi Restaurant – 1.3 km (5 minutes by car),480,870,1300,1300,1300,2100,0,0,0,1,0,0,0,1,0,1,0,0,expressway,Lat Phrao Toll Plaza,4300,expressway,Yothin Phatthana Toll Plaza,4800,expressway,Pracha Uthit Toll Plaza,5000,mrt,Sutthisan,8100,mrt,Huai Khwang,8300
624 Condolette Ladprao,13.766348,100.649395,45845,-3.45,-8.65,6.78,24.52,"[{""date"":""2010-07-01"",""value"":36242},{""date"":""2010-10-01"",""value"":36181},{""date"":""2011-01-01"",""value"":36089},{""date"":""2011-04-01"",""value"":35997},{""date"":""2011-07-01"",""value"":37740},{""date"":""2011-10-01"",""value"":41359},{""date"":""2012-01-01"",""value"":41328},{""date"":""2012-04-01"",""value"":41298},{""date"":""2012-07-01"",""value"":41267},{""date"":""2012-10-01"",""value"":41331},{""date"":""2013-01-01"",""value"":42049},{""date"":""2013-04-01"",""value"":42905},{""date"":""2013-07-01"",""value"":44077},{""date"":""2013-10-01"",""value"":45173},{""date"":""2014-01-01"",""value"":46207},{""date"":""2014-04-01"",""value"":47106},{""date"":""2014-07-01"",""value"":46194},{""date"":""2014-10-01"",""value"":46150},{""date"":""2015-01-01"",""value"":45747},{""date"":""2015-04-01"",""value"":46425},{""date"":""2015-07-01"",""value"":47909},{""date"":""2015-10-01"",""value"":48209},{""date"":""2016-01-01"",""value"":49579},{""date"":""2016-04-01"",""value"":59753},{""date"":""2016-07-01"",""value"":55965},{""date"":""2016-10-01"",""value"":47126},{""date"":""2017-01-01"",""value"":43062},{""date"":""2017-04-01"",""value"":47368},{""date"":""2017-07-01"",""value"":50186},{""date"":""2017-10-01"",""value"":51410},{""date"":""2018-01-01"",""value"":49446},{""date"":""2018-04-01"",""value"":47481},{""date"":""2018-07-01"",""value"":45845}]",Khet Bang Kapi,2011,2,8,471,Phan Thip Plaza Department Store (Phan Thip Bang Kapi) is 400 m away (approximately 5 minutes by foot),N Mark Plaza Department Store – 790 m (4 minutes by car),Mall Avenue – 830 m (3 minutes by car),G.S. Supermart – 850 m (10 minutes by car),Home Fresh Mart (The Mall Bang Kapi) – 1.1 km (6 minutes by car),400,790,830,850,1100,"Darun U Lu Mit Di Ni Ya School, located within 560 m away (approximately 7 minutes by foot)",Hua Mak Kindergarten – 720 m (9 minutes by foot),Mewadi Music School (Lotus Bang Kapi) – 740 m (10 minutes by foot),Bangkapi  School – 780 m (2 minutes by car),National Institute Of Development Administration (Nida) – 830 m (5 minutes by car),560,720,740,780,830,Food Center – 400 m (5 minutes by foot),Shabu Yoshi – 400 m (5 minutes by foot),Aroi Restaurant (Che Pathum) – 590 m (8 minutes by foot),Shabushi (Lotus Bang Kapi) – 740 m (10 minutes by foot),Pho (Lotus Bang Kapi) – 740 m (10 minutes by foot),400,400,590,740,740,1800,1,1,1,1,0,0,1,1,0,1,1,1,expressway,Lat Phrao Toll Plaza,5800,expressway,Srinagarindra Toll Plaza,6200,expressway,Pracha Uthit Toll Plaza,6500,mrt,Huai Khwang,9800,mrt,Thailand Cultural Centre,9900
Adamas Ramkhamhaeng,13.7524478,100.6155072,31129,0,0,0,–,"[{""date"":""2014-10-01"",""value"":25258},{""date"":""2015-01-01"",""value"":24581},{""date"":""2015-04-01"",""value"":23903},{""date"":""2015-07-01"",""value"":23731},{""date"":""2015-10-01"",""value"":27097},{""date"":""2016-01-01"",""value"":30968},{""date"":""2016-04-01"",""value"":31487},{""date"":""2016-07-01"",""value"":31129},{""date"":""2016-10-01"",""value"":31129},{""date"":""2017-01-01"",""value"":31129},{""date"":""2017-04-01"",""value"":31129},{""date"":""2017-07-01"",""value"":31129},{""date"":""2017-10-01"",""value"":31129},{""date"":""2018-01-01"",""value"":31129},{""date"":""2018-04-01"",""value"":31129},{""date"":""2018-07-01"",""value"":31129}]",Khet Bang Kapi,1995,1,16,140,The Mall Department Store (Ramkhamhaeng 3) is 830 m away (approximately 8 minutes by car),Home Fresh Mart (The Mall 3 Ramkhamhaeng) – 880 m (8 minutes by car),Home Fresh Mart (The Mall 2 Ramkhamhaeng) – 890 m (3 minutes by car),The Mall Department Store (Ramkhamhaeng 2) – 890 m (3 minutes by car),Mall Park Department Store – 910 m (3 minutes by car),830,880,890,890,910,"The Demonstration School Of Ramkhamhaeng University, located within 640 m away (approximately 8 minutes by foot)",Leader Development Institute – 640 m (8 minutes by foot),"Demonstration Kindergarten, Sathit Ramkhamhaeng University – 730 m (9 minutes by foot)","The Office Of Educational Technology, Ramkhamhaeng Univers... – 850 m (13 minutes by car)",Ban Thip Kindergarten – 870 m (4 minutes by car),640,640,730,850,870,Bu-Nga Raya Restaurant – 300 m (4 minutes by foot),Aroi Food Center – 510 m (6 minutes by foot),Knomjean Senmuan – 520 m (6 minutes by foot),MK Restaurants – 530 m (7 minutes by foot),Blue Nine Restaurant – 580 m (7 minutes by foot),300,510,520,530,580,2300,1,1,1,1,0,0,0,0,0,1,0,1,expressway,Srinagarindra Toll Plaza,2100,expressway,Ramkhamhaeng Toll Plaza,2500,expressway,Phatthanakan 2 Toll Plaza,2900,bts,Phra Khanong,6100,bts,Ekkamai,6300
Aspire Ladprao 113,13.770286,100.638799,77711,-4.28,-4.87,5.82,-5.51,"[{""date"":""2016-10-01"",""value"":79976},{""date"":""2017-01-01"",""value"":81892},{""date"":""2017-04-01"",""value"":77977},{""date"":""2017-07-01"",""value"":81690},{""date"":""2017-10-01"",""value"":77485},{""date"":""2018-01-01"",""value"":78683},{""date"":""2018-04-01"",""value"":81182},{""date"":""2018-07-01"",""value"":77711}]",Khet Bang Kapi,2016,1,8,270,Tawanna 2 Department Store is 320 m away (approximately 4 minutes by foot),Tawanna Department Store – 530 m (7 minutes by foot),Tops Daily – 640 m (8 minutes by foot),Home Fresh Mart (The Mall Bang Kapi) – 640 m (8 minutes by foot),Happy Land Center Department Store – 650 m (8 minutes by foot),320,530,640,640,650,"Suranarai Boriban School, Lat Phrao, located within 710 m away (approximately 9 minutes by foot)",Mewadi Music School (Lotus Bang Kapi) – 720 m (9 minutes by foot),Phattharabut Kindergarten – 730 m (9 minutes by foot),Darun U Lu Mit Di Ni Ya School – 910 m (6 minutes by car),Oraphin Beauty-Dress Making School – 920 m (3 minutes by car),710,720,730,910,920,Bueng Phlan Chai Restaurant – 300 m (4 minutes by foot),Jeffer – 400 m (5 minutes by foot),Al-Waha Restaurant – 520 m (6 minutes by foot),Kfc – 530 m (7 minutes by foot),Sukishi Bar B Q – 580 m (8 minutes by foot),300,400,520,530,580,680,1,1,1,1,1,1,1,0,0,0,0,0,expressway,Lat Phrao Toll Plaza,4700,expressway,Pracha Uthit Toll Plaza,5400,expressway,Srinagarindra Toll Plaza,6100,mrt,Sutthisan,8500,mrt,Huai Khwang,8700
Assagarn Place Ramkhamhaeng,13.7651934,100.6534975,36571,0,8.73,5.74,-0.57,"[{""date"":""2010-01-01"",""value"":21443},{""date"":""2010-04-01"",""value"":21763},{""date"":""2010-07-01"",""value"":22147},{""date"":""2010-10-01"",""value"":22532},{""date"":""2011-01-01"",""value"":22916},{""date"":""2011-04-01"",""value"":23180},{""date"":""2011-07-01"",""value"":22604},{""date"":""2011-10-01"",""value"":21908},{""date"":""2012-01-01"",""value"":21431},{""date"":""2012-04-01"",""value"":22485},{""date"":""2012-07-01"",""value"":23758},{""date"":""2012-10-01"",""value"":25030},{""date"":""2013-01-01"",""value"":26303},{""date"":""2013-04-01"",""value"":27576},{""date"":""2013-07-01"",""value"":28572},{""date"":""2013-10-01"",""value"":29431},{""date"":""2014-01-01"",""value"":30575},{""date"":""2014-04-01"",""value"":32830},{""date"":""2014-07-01"",""value"":33585},{""date"":""2014-10-01"",""value"":34845},{""date"":""2015-01-01"",""value"":34480},{""date"":""2015-04-01"",""value"":33920},{""date"":""2015-07-01"",""value"":31092},{""date"":""2015-10-01"",""value"":26779},{""date"":""2016-01-01"",""value"":30508},{""date"":""2016-04-01"",""value"":33226},{""date"":""2016-07-01"",""value"":31295},{""date"":""2016-10-01"",""value"":32063},{""date"":""2017-01-01"",""value"":31482},{""date"":""2017-04-01"",""value"":30701},{""date"":""2017-07-01"",""value"":33636},{""date"":""2017-10-01"",""value"":36571},{""date"":""2018-01-01"",""value"":36571},{""date"":""2018-04-01"",""value"":36571},{""date"":""2018-07-01"",""value"":36571}]",Khet Bang Kapi,2013,1,8,220,Villa Market (Pure Place FL.1) is 1.3 km away (approximately 6 minutes by car),Pure Place Shopping Center – 1.4 km (6 minutes by car),Get It Supermarket – 1.4 km (7 minutes by car),Siam Future Plaza Shopping Center – 1.7 km (9 minutes by car),Tops Market (Sukhaphiban 3) – 1.8 km (8 minutes by car),1300,1400,1400,1700,1800,"Thinnakorn Phittayanusorn School, located within 630 m away (approximately 8 minutes by foot)",Heathfield International School – 790 m (3 minutes by car),Fueang Fa Kindergarten – 1.2 km (6 minutes by car),Global Art & Creative – 1.2 km (6 minutes by car),Triamudomsueksa Nomklao School – 1.4 km (5 minutes by car),630,790,1200,1200,1400,Chim Kon Prung Restaurant – 640 m (8 minutes by foot),Bang Sammakon Beef Noodle – 680 m (9 minutes by foot),The Pizza Company (Sukhaphiban 3) – 950 m (5 minutes by car),Ban Phakwan Restaurant – 1 km (6 minutes by car),Daddy Do Restaurant – 1 km (6 minutes by car),640,680,950,1000,1000,1300,1,1,1,1,1,1,1,0,0,0,0,1,expressway,Thap Chang Toll Plaza-Inbound,3800,expressway,Thap Chang Toll Plaza-Outbound,4000,expressway,Yothin Phatthana Toll Plaza,10000,mrt,Huai Khwang,14000,mrt,Sutthisan,14000
B.R. Condo,13.768706,100.63887599999998,80986,1.18,6.84,7.54,0,"[{""date"":""2011-01-01"",""value"":87500},{""date"":""2011-04-01"",""value"":79460},{""date"":""2011-07-01"",""value"":71310},{""date"":""2011-10-01"",""value"":77341},{""date"":""2012-01-01"",""value"":70146},{""date"":""2012-04-01"",""value"":80136},{""date"":""2012-07-01"",""value"":69847},{""date"":""2012-10-01"",""value"":73742},{""date"":""2013-01-01"",""value"":94601},{""date"":""2013-04-01"",""value"":94333},{""date"":""2013-07-01"",""value"":97542},{""date"":""2013-10-01"",""value"":91087},{""date"":""2014-01-01"",""value"":94747},{""date"":""2014-04-01"",""value"":95246},{""date"":""2014-07-01"",""value"":102112},{""date"":""2014-10-01"",""value"":111211},{""date"":""2015-01-01"",""value"":121729},{""date"":""2015-04-01"",""value"":132246},{""date"":""2015-07-01"",""value"":154882},{""date"":""2015-10-01"",""value"":196178},{""date"":""2016-01-01"",""value"":152950},{""date"":""2016-04-01"",""value"":109168},{""date"":""2016-07-01"",""value"":89703},{""date"":""2016-10-01"",""value"":83782},{""date"":""2017-01-01"",""value"":77861},{""date"":""2017-04-01"",""value"":74385},{""date"":""2017-07-01"",""value"":75799},{""date"":""2017-10-01"",""value"":77214},{""date"":""2018-01-01"",""value"":78628},{""date"":""2018-04-01"",""value"":80043},{""date"":""2018-07-01"",""value"":80986}]",Khet Bang Kapi,1991,2,10,560,Tawanna 2 Department Store is 8 m away (approximately less than a minute by foot),Tawanna Department Store – 500 m (6 minutes by foot),Home Fresh Mart (The Mall Bang Kapi) – 660 m (8 minutes by foot),Tops Daily – 710 m (9 minutes by foot),Happy Land Center Department Store – 730 m (9 minutes by foot),8,500,660,710,730,"Suranarai Boriban School, Lat Phrao, located within 630 m away (approximately 8 minutes by foot)",Phattharabut Kindergarten – 740 m (9 minutes by foot),Mewadi Music School (Lotus Bang Kapi) – 790 m (9 minutes by car),Darun U Lu Mit Di Ni Ya School – 990 m (9 minutes by car),Oraphin Beauty-Dress Making School – 1 km (6 minutes by car),630,740,790,990,1000,Bueng Phlan Chai Restaurant – 180 m (2 minutes by foot),Jeffer – 370 m (5 minutes by foot),Kfc – 500 m (6 minutes by foot),Al-Waha Restaurant – 530 m (6 minutes by foot),KFC (Makro Lat Phrao) – 530 m (6 minutes by foot),180,370,500,530,530,690,1,1,1,1,0,0,0,0,0,1,0,0,expressway,Lat Phrao Toll Plaza,4700,expressway,Pracha Uthit Toll Plaza,5400,expressway,Srinagarindra Toll Plaza,6100,mrt,Sutthisan,8500,mrt,Huai Khwang,8600
Baan Sukhothai Ramkhamhaeng,13.7596635,100.6341901,72581,0,38.5,5.44,8.94,"[{""date"":""2010-01-01"",""value"":21042},{""date"":""2010-04-01"",""value"":22083},{""date"":""2010-07-01"",""value"":23222},{""date"":""2010-10-01"",""value"":23583},{""date"":""2011-01-01"",""value"":23833},{""date"":""2011-04-01"",""value"":24084},{""date"":""2011-07-01"",""value"":25167},{""date"":""2011-10-01"",""value"":26600},{""date"":""2012-01-01"",""value"":27900},{""date"":""2012-04-01"",""value"":24067},{""date"":""2012-07-01"",""value"":23767},{""date"":""2012-10-01"",""value"":23917},{""date"":""2013-01-01"",""value"":21982},{""date"":""2013-04-01"",""value"":28836},{""date"":""2013-07-01"",""value"":37771},{""date"":""2013-10-01"",""value"":31313},{""date"":""2014-01-01"",""value"":28681},{""date"":""2014-04-01"",""value"":24792},{""date"":""2014-07-01"",""value"":24479},{""date"":""2014-10-01"",""value"":24248},{""date"":""2015-01-01"",""value"":24468},{""date"":""2015-04-01"",""value"":25729},{""date"":""2015-07-01"",""value"":30083},{""date"":""2015-10-01"",""value"":40283},{""date"":""2016-01-01"",""value"":32346},{""date"":""2016-04-01"",""value"":34878},{""date"":""2016-07-01"",""value"":38067},{""date"":""2016-10-01"",""value"":34467},{""date"":""2017-01-01"",""value"":30867},{""date"":""2017-04-01"",""value"":45493},{""date"":""2017-07-01"",""value"":52405},{""date"":""2017-10-01"",""value"":43541},{""date"":""2018-01-01"",""value"":72581},{""date"":""2018-04-01"",""value"":72581},{""date"":""2018-07-01"",""value"":72581}]",Khet Bang Kapi,1994,18,10,40,Blue Shop is 650 m away (approximately 8 minutes by foot),F.B.T. Sport Complex Department Store – 1.4 km (4 minutes by car),G.S. Supermart – 1.4 km (7 minutes by car),Home Fresh Mart (The Mall Bang Kapi) – 1.5 km (12 minutes by car),Tawanna Department Store – 1.6 km (7 minutes by car),650,1400,1400,1500,1600,"ST. Theresa International College Of Business And Management, located within 750 m away (approximately 9 minutes by foot)",St.theresa Technology Of Business Administration School – 750 m (9 minutes by foot),Khlong Chan Mosque School – 800 m (10 minutes by foot),Opinion Institute – 900 m (3 minutes by car),Sutharak Boriban School – 1.3 km (4 minutes by car),750,750,800,900,1300,Chang Chiang Khao Man Kai Restaurant – 400 m (5 minutes by foot),Dream Seafood Barbeque – 570 m (7 minutes by foot),Fishball Yaowarat Noodle – 670 m (8 minutes by foot),Hashi Japanese Restaurant – 730 m (9 minutes by foot),Bang Phochana – 840 m (4 minutes by car),400,570,670,730,840,510,1,1,1,1,1,1,1,0,1,0,0,0,expressway,Srinagarindra Toll Plaza,4500,expressway,Pracha Uthit Toll Plaza,4900,expressway,Phatthanakan 2 Toll Plaza,5300,mrt,Huai Khwang,8000,mrt,Thailand Cultural Centre,8200
Bangkapi Condotown,13.7717841,100.6446737,19071,0,0,0,–,"[{""date"":""2010-10-01"",""value"":12044},{""date"":""2011-01-01"",""value"":12178},{""date"":""2011-04-01"",""value"":12311},{""date"":""2011-07-01"",""value"":12444},{""date"":""2011-10-01"",""value"":12578},{""date"":""2012-01-01"",""value"":12711},{""date"":""2012-04-01"",""value"":12844},{""date"":""2012-07-01"",""value"":12978},{""date"":""2012-10-01"",""value"":13111},{""date"":""2013-01-01"",""value"":13244},{""date"":""2013-04-01"",""value"":13378},{""date"":""2013-07-01"",""value"":13511},{""date"":""2013-10-01"",""value"":13644},{""date"":""2014-01-01"",""value"":13778},{""date"":""2014-04-01"",""value"":13911},{""date"":""2014-07-01"",""value"":14583},{""date"":""2014-10-01"",""value"":16157},{""date"":""2015-01-01"",""value"":16021},{""date"":""2015-04-01"",""value"":15470},{""date"":""2015-07-01"",""value"":14919},{""date"":""2015-10-01"",""value"":14368},{""date"":""2016-01-01"",""value"":14839},{""date"":""2016-04-01"",""value"":17355},{""date"":""2016-07-01"",""value"":19101},{""date"":""2016-10-01"",""value"":19124},{""date"":""2017-01-01"",""value"":18907},{""date"":""2017-04-01"",""value"":19071},{""date"":""2017-07-01"",""value"":19071},{""date"":""2017-10-01"",""value"":19071},{""date"":""2018-01-01"",""value"":19071},{""date"":""2018-04-01"",""value"":19071},{""date"":""2018-07-01"",""value"":19071}]",Khet Bang Kapi,1992,5,11,1553,Tops Daily is 84 m away (approximately 1 minute by foot),Phan Thip Plaza Department Store (Phan Thip Bang Kapi) – 660 m (8 minutes by foot),N Mark Plaza Department Store – 960 m (6 minutes by car),Happy Land Center Department Store – 1.2 km (6 minutes by car),Tops Daily – 1.2 km (6 minutes by car),84,660,960,1200,1200,"Ban Bang Kapi School, located within 240 m away (approximately 3 minutes by foot)",Darun U Lu Mit Di Ni Ya School – 560 m (7 minutes by foot),Mewadi Music School (Lotus Bang Kapi) – 920 m (8 minutes by car),Bangkapi  School – 1.3 km (6 minutes by car),Watthana Non Witthaya School – 1.3 km (5 minutes by car),240,560,920,1300,1300,Ban Khon Mueang Restaurant – 390 m (5 minutes by foot),Yentafo Khrueang Song (Lotus Bang Kapi) – 920 m (8 minutes by car),Food Court (Lotus Bang Kapi) – 920 m (8 minutes by car),Pho (Lotus Bang Kapi) – 920 m (8 minutes by car),Chester's Grill (Lotus Bang Kapi) – 920 m (8 minutes by car),390,920,920,920,920,2000,1,1,1,1,0,0,0,0,0,1,0,0,expressway,Lat Phrao Toll Plaza,6000,expressway,Srinagarindra Toll Plaza,6500,expressway,Pracha Uthit Toll Plaza,6700,mrt,Sutthisan,9800,mrt,Huai Khwang,10000
Bangkapi Grand Condo,13.7591808,100.6506254,22832,0,0,0,–,"[{""date"":""2009-07-01"",""value"":16533},{""date"":""2009-10-01"",""value"":15733},{""date"":""2010-01-01"",""value"":15240},{""date"":""2010-04-01"",""value"":15360},{""date"":""2010-07-01"",""value"":15640},{""date"":""2010-10-01"",""value"":16000},{""date"":""2011-01-01"",""value"":16361},{""date"":""2011-04-01"",""value"":16721},{""date"":""2011-07-01"",""value"":17081},{""date"":""2011-10-01"",""value"":17217},{""date"":""2012-01-01"",""value"":16904},{""date"":""2012-04-01"",""value"":16592},{""date"":""2012-07-01"",""value"":16279},{""date"":""2012-10-01"",""value"":16187},{""date"":""2013-01-01"",""value"":16533},{""date"":""2013-04-01"",""value"":16880},{""date"":""2013-07-01"",""value"":17227},{""date"":""2013-10-01"",""value"":17574},{""date"":""2014-01-01"",""value"":17921},{""date"":""2014-04-01"",""value"":18268},{""date"":""2014-07-01"",""value"":18615},{""date"":""2014-10-01"",""value"":18961},{""date"":""2015-01-01"",""value"":19308},{""date"":""2015-04-01"",""value"":19655},{""date"":""2015-07-01"",""value"":20002},{""date"":""2015-10-01"",""value"":20349},{""date"":""2016-01-01"",""value"":20696},{""date"":""2016-04-01"",""value"":21042},{""date"":""2016-07-01"",""value"":21389},{""date"":""2016-10-01"",""value"":21736},{""date"":""2017-01-01"",""value"":22832},{""date"":""2017-04-01"",""value"":22832},{""date"":""2017-07-01"",""value"":22832},{""date"":""2017-10-01"",""value"":22832},{""date"":""2018-01-01"",""value"":22832},{""date"":""2018-04-01"",""value"":22832},{""date"":""2018-07-01"",""value"":22832}]",Khet Bang Kapi,1996,2,8,428,G.S. Supermart is 1.1 km away (approximately 11 minutes by car),Phan Thip Plaza Department Store (Phan Thip Bang Kapi) – 1.2 km (8 minutes by car),The Mall Department Store (Bang Kapi) – 1.6 km (7 minutes by car),Mall Avenue – 1.7 km (7 minutes by car),Blue Shop – 1.9 km (5 minutes by car),1100,1200,1600,1700,1900,"Hua Mak Kindergarten, located within 870 m away (approximately 6 minutes by car)",Kanchana Phon Kindergarten – 970 m (4 minutes by car),Interkids Kindergarten – 1.1 km (8 minutes by car),Mewadi Music School (Lotus Bang Kapi) – 1.6 km (11 minutes by car),Ramkhamhaeng Advent International School – 1.7 km (7 minutes by car),870,970,1100,1600,1700,Ban Bun Wiset Restaurant (I-San Ban Hao) – 570 m (7 minutes by foot),Bali Restaurant – 670 m (8 minutes by foot),Chicken's Plus Restaurant – 840 m (7 minutes by car),Bang Pakong Buffet Restaurant – 890 m (7 minutes by car),Baan Yuan Vietnam Restaurant – 940 m (6 minutes by car),570,670,840,890,940,2000,1,1,1,1,0,0,0,0,1,0,0,1,expressway,Srinagarindra Toll Plaza,6400,expressway,Pracha Uthit Toll Plaza,6800,expressway,Thap Chang Toll Plaza-Inbound,8000,bts,Phra Khanong,10000,bts,Ekkamai,11000
Bangkok Horizon Ramkhamhaeng,13.7629449,100.6484782,58266,-3.32,-7.53,7.02,12.17,"[{""date"":""2010-04-01"",""value"":50282},{""date"":""2010-07-01"",""value"":51688},{""date"":""2010-10-01"",""value"":52110},{""date"":""2011-01-01"",""value"":52735},{""date"":""2011-04-01"",""value"":53828},{""date"":""2011-07-01"",""value"":52604},{""date"":""2011-10-01"",""value"":58850},{""date"":""2012-01-01"",""value"":59398},{""date"":""2012-04-01"",""value"":62437},{""date"":""2012-07-01"",""value"":70215},{""date"":""2012-10-01"",""value"":62973},{""date"":""2013-01-01"",""value"":61049},{""date"":""2013-04-01"",""value"":61480},{""date"":""2013-07-01"",""value"":61841},{""date"":""2013-10-01"",""value"":66631},{""date"":""2014-01-01"",""value"":59720},{""date"":""2014-04-01"",""value"":56787},{""date"":""2014-07-01"",""value"":59833},{""date"":""2014-10-01"",""value"":63097},{""date"":""2015-01-01"",""value"":65011},{""date"":""2015-04-01"",""value"":60545},{""date"":""2015-07-01"",""value"":58721},{""date"":""2015-10-01"",""value"":58453},{""date"":""2016-01-01"",""value"":62334},{""date"":""2016-04-01"",""value"":62606},{""date"":""2016-07-01"",""value"":62332},{""date"":""2016-10-01"",""value"":61070},{""date"":""2017-01-01"",""value"":60824},{""date"":""2017-04-01"",""value"":67561},{""date"":""2017-07-01"",""value"":63013},{""date"":""2017-10-01"",""value"":55954},{""date"":""2018-01-01"",""value"":58901},{""date"":""2018-04-01"",""value"":60267},{""date"":""2018-07-01"",""value"":58266}]",Khet Bang Kapi,2010,1,38,592,G.S. Supermart is 480 m away (approximately 7 minutes by foot),Phan Thip Plaza Department Store (Phan Thip Bang Kapi) – 640 m (8 minutes by foot),The Mall Department Store (Bang Kapi) – 1 km (4 minutes by car),Mall Avenue – 1.1 km (5 minutes by car),Tops Daily – 1.3 km (6 minutes by car),480,640,1000,1100,1300,"Hua Mak Kindergarten, located within 280 m away (approximately 4 minutes by foot)",Kanchana Phon Kindergarten – 370 m (5 minutes by foot),Interkids Kindergarten – 710 m (9 minutes by foot),Darun U Lu Mit Di Ni Ya School – 800 m (6 minutes by car),Mewadi Music School (Lotus Bang Kapi) – 940 m (7 minutes by car),280,370,710,800,940,Ban Bun Wiset Restaurant (I-San Ban Hao) – 280 m (3 minutes by foot),Bali Restaurant – 390 m (5 minutes by foot),Chicken's Plus Restaurant – 440 m (5 minutes by foot),Bang Pakong Buffet Restaurant – 480 m (6 minutes by foot),Baan Yuan Vietnam Restaurant – 540 m (7 minutes by foot),280,390,440,480,540,1400,1,1,1,1,1,1,1,1,0,1,1,1,expressway,Srinagarindra Toll Plaza,5800,expressway,Lat Phrao Toll Plaza,6100,expressway,Pracha Uthit Toll Plaza,6300,mrt,Huai Khwang,9400,bts,Phra Khanong,9800
